Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2012,    Production occupations,"8,569,007",71.90%,28.10%,"30,816","35,259","22,080",0,0
2012,    Transportation occupations,"5,150,510",86.40%,13.60%,"31,930","34,356","21,749",0,0
2012,    Material moving occupations,"3,673,898",79.60%,20.40%,"21,523","22,426","17,507",0,0
2013,Civilian employed population 16 years and over,"145,128,676",52.50%,47.50%,"32,387","39,530","27,627",0,0
2013,"Management, business, science, and arts occupations:","52,753,573",47.80%,52.20%,"52,478","65,997","45,722",0,0
2013,"    Management, business, and financial occupations:","21,201,006",55.60%,44.40%,"61,059","71,340","51,203",0,0
2013,        Management occupations,"14,257,292",60.80%,39.20%,"64,994","74,433","52,491",0,0
2013,        Business and financial operations occupations,"6,943,714",44.90%,55.10%,"54,454","64,574","49,071",0,0
2013,"    Computer, engineering, and science occupations:","7,782,601",74.20%,25.80%,"70,129","73,511","58,110",0,0
2013,        Computer and mathematical occupations,"3,875,030",73.70%,26.30%,"71,730","75,493","62,745",0,0
2013,        Architecture and engineering occupations,"2,658,394",84.80%,15.20%,"72,208","75,551","57,996",0,0
2013,"        Life, physical, and social science occupations","1,249,177",53.50%,46.50%,"53,844","60,372","50,236",0,0
2013,"    Education, legal, community service, arts, and media occupations:","15,648,385",35.80%,64.20%,"40,384","47,513","36,490",0,0
2013,        Community and social services occupations,"2,369,635",36.90%,63.10%,"37,573","39,841","37,003",0,0
2013,        Legal occupations,"1,681,294",48.60%,51.40%,"72,063","101,879","53,664",0,0
2013,"        Education, training, and library occupations","8,791,356",27.20%,72.80%,"38,195","46,785","35,295",0,0
2013,"        Arts, design, entertainment, sports, and media occupations","2,806,100",54.30%,45.70%,"36,231","41,226","30,875",0,0
2013,    Healthcare practitioner and technical occupations:,"8,121,581",25.40%,74.60%,"52,425","72,979","50,275",0,0
2013,        Health diagnosing and treating practitioners and other technical occupations,"5,626,924",26.90%,73.10%,"62,650","100,320","58,749",0,0
2013,        Health technologists and technicians,"2,494,657",22.00%,78.00%,"35,646","40,620","34,240",0,0
2013,Service occupations:,"26,654,335",43.60%,56.40%,"17,425","21,446","15,391",0,0
2013,    Healthcare support occupations,"3,752,165",13.40%,86.60%,"21,942","25,193","21,661",0,0
2013,    Protective service occupations:,"3,190,761",77.60%,22.40%,"40,702","43,238","31,071",0,0
2013,"        Fire fighting and prevention, and other protective service workers including supervisors","1,796,111",75.70%,24.30%,"28,697","31,353","20,814",0,0
2013,        Law enforcement workers including supervisors,"1,394,650",80.00%,20.00%,"53,867","56,758","44,899",0,0
2013,    Food preparation and serving related occupations,"8,464,136",45.80%,54.20%,"12,858","15,228","11,768",0,0
2013,    Building and grounds cleaning and maintenance occupations,"5,853,358",60.40%,39.60%,"18,050","21,528","14,096",0,0
2013,    Personal care and service occupations,"5,393,915",22.80%,77.20%,"15,200","18,945","14,211",0,0
2013,Sales and office occupations:,"35,109,334",37.60%,62.40%,"27,412","33,653","25,266",0,0
2013,    Sales and related occupations,"15,688,353",50.00%,50.00%,"26,075","38,567","17,415",0,0
2013,    Office and administrative support occupations,"19,420,981",27.60%,72.40%,"28,482","30,122","27,981",0,0
2013,"Natural resources, construction, and maintenance occupations:","12,924,043",95.40%,4.60%,"33,084","34,392","20,966",0,0
2013,"    Farming, fishing, and forestry occupations","1,041,894",78.80%,21.20%,"19,166","21,144","13,435",0,0
2013,    Construction and extraction occupations,"7,235,513",97.30%,2.70%,"31,857","31,966","25,081",0,0
2013,"    Installation, maintenance, and repair occupations","4,646,636",96.00%,4.00%,"40,410","40,551","33,451",0,0
2013,"Production, transportation, and material moving occupations:","17,687,391",77.90%,22.10%,"29,425","31,660","21,307",0,0
2013,    Production occupations,"8,712,986",71.70%,28.30%,"30,936","35,364","22,245",0,0
2013,    Transportation occupations,"5,229,882",86.70%,13.30%,"31,897","34,648","21,147",0,0
2013,    Material moving occupations,"3,744,523",79.80%,20.20%,"21,626","22,837","17,329",0,0
2014,Civilian employed population 16 years and over,"148,019,908",52.50%,47.50%,"33,075","40,110","28,170",0,0
2014,"Management, business, science, and arts occupations:","54,622,492",47.50%,52.50%,"52,975","66,453","45,970",0,0
2014,"    Management, business, and financial occupations:","21,946,506",55.30%,44.70%,"61,265","71,648","51,488",0,0
2014,        Management occupations,"14,846,834",60.30%,39.70%,"65,327","75,234","53,017",0,0
2014,        Business and financial operations occupations,"7,099,672",44.70%,55.30%,"55,132","65,100","49,940",0,0
2014,"    Computer, engineering, and science occupations:","8,073,244",74.30%,25.70%,"70,740","74,562","60,272",0,0
2014,        Computer and mathematical occupations,"4,119,236",74.00%,26.00%,"72,872","76,445","65,162",0,0
2014,        Architecture and engineering occupations,"2,663,497",84.60%,15.40%,"72,458","75,698","60,226",0,0
2014,"        Life, physical, and social science occupations","1,290,511",53.70%,46.30%,"54,536","59,784","50,681",0,0
2014,"    Education, legal, community service, arts, and media occupations:","15,971,308",35.30%,64.70%,"40,471","48,045","36,662",0,0
2014,        Community and social services occupations,"2,521,254",35.90%,64.10%,"37,816","40,039","37,142",0,0
2014,        Legal occupations,"1,661,609",49.00%,51.00%,"75,567","105,391","55,780",0,0
2014,"        Education, training, and library occupations","8,910,030",26.90%,73.10%,"38,495","47,194","35,525",0,0
2014,"        Arts, design, entertainment, sports, and media occupations","2,878,415",52.90%,47.10%,"36,174","41,261","30,768",0,0
2014,    Healthcare practitioner and technical occupations:,"8,631,434",25.10%,74.90%,"52,123","71,353","49,956",0,0
2014,        Health diagnosing and treating practitioners and other technical occupations,"5,772,601",26.10%,73.90%,"62,921","96,624","59,632",0,0
2014,        Health technologists and technicians,"2,858,833",23.10%,76.90%,"35,468","41,248","33,634",0,0
2014,Service occupations:,"26,950,798",43.70%,56.30%,"17,590","21,628","15,519",0,0
2014,    Healthcare support occupations,"3,516,392",12.80%,87.20%,"22,162","24,769","21,967",0,0
2014,    Protective service occupations:,"3,269,090",78.40%,21.60%,"41,012","44,132","31,301",0,0
2014,"        Fire fighting and prevention, and other protective service workers including supervisors","1,794,061",76.60%,23.40%,"29,468","31,516","21,584",0,0
2014,        Law enforcement workers including supervisors,"1,475,029",80.60%,19.40%,"53,624","56,515","43,390",0,0
2014,    Food preparation and serving related occupations,"8,728,394",45.70%,54.30%,"13,157","15,477","11,951",0,0
2014,    Building and grounds cleaning and maintenance occupations,"5,945,384",60.00%,40.00%,"18,328","21,718","14,445",0,0
2014,    Personal care and service occupations,"5,491,538",22.10%,77.90%,"15,330","18,911","14,520",0,0
2014,Sales and office occupations:,"35,098,114",38.00%,62.00%,"27,665","34,490","25,427",0,0
2014,    Sales and related occupations,"15,864,596",49.70%,50.30%,"26,346","39,387","17,751",0,0
2014,    Office and administrative support occupations,"19,233,518",28.40%,71.60%,"28,756","30,162","28,324",0,0
2014,"Natural resources, construction, and maintenance occupations:","13,191,538",95.20%,4.80%,"33,994","35,141","21,249",0,0
2014,"    Farming, fishing, and forestry occupations","1,102,758",78.10%,21.90%,"19,020","21,128","12,267",0,0
2014,    Construction and extraction occupations,"7,470,757",97.20%,2.80%,"32,299","32,418","25,575",0,0
2014,"    Installation, maintenance, and repair occupations","4,618,023",96.10%,3.90%,"40,692","40,804","34,991",0,0
2014,"Production, transportation, and material moving occupations:","18,156,966",78.00%,22.00%,"30,117","32,019","21,490",0,0
2014,    Production occupations,"8,824,465",71.90%,28.10%,"31,289","35,907","22,273",0,0
2014,    Transportation occupations,"5,376,762",86.70%,13.30%,"32,346","35,356","22,033",0,0
2014,    Material moving occupations,"3,955,739",79.80%,20.20%,"21,980","23,516","17,745",0,0
2015,Civilian employed population 16 years and over,"150,534,773",52.60%,47.40%,0,0,0,"79,120,041","71,414,732"
2015,"Management, business, science, and arts occupations:","55,873,365",47.50%,52.50%,0,0,0,"26,536,522","29,336,843"
2015,"    Management, business, and financial occupations:","22,657,853",55.20%,44.80%,0,0,0,"12,516,216","10,141,637"
2015,        Management occupations,"15,436,375",60.10%,39.90%,0,0,0,"9,283,974","6,152,401"
2015,        Business and financial operations occupations,"7,221,478",44.80%,55.20%,0,0,0,"3,232,242","3,989,236"
2015,"    Computer, engineering, and science occupations:","8,276,842",74.30%,25.70%,0,0,0,"6,150,785","2,126,057"
2015,        Computer and mathematical occupations,"4,267,389",74.20%,25.80%,0,0,0,"3,168,110","1,099,279"
2015,        Architecture and engineering occupations,"2,691,570",84.90%,15.10%,0,0,0,"2,283,830","407,740"
2015,"        Life, physical, and social science occupations","1,317,883",53.00%,47.00%,0,0,0,"698,845","619,038"
2015,"    Education, legal, community service, arts, and media occupations:","16,182,850",35.20%,64.80%,0,0,0,"5,692,198","10,490,652"
2015,        Community and social services occupations,"2,575,707",34.30%,65.70%,0,0,0,"884,494","1,691,213"
2015,        Legal occupations,"1,684,406",48.60%,51.40%,0,0,0,"818,563","865,843"
2015,"        Education, training, and library occupations","8,957,117",27.20%,72.80%,0,0,0,"2,432,305","6,524,812"
2015,"        Arts, design, entertainment, sports, and media occupations","2,965,620",52.50%,47.50%,0,0,0,"1,556,836","1,408,784"
2015,    Healthcare practitioner and technical occupations:,"8,755,820",24.90%,75.10%,0,0,0,"2,177,323","6,578,497"
2015,        Health diagnosing and treating practitioners and other technical occupations,"5,894,123",26.10%,73.90%,0,0,0,"1,537,843","4,356,280"
2015,        Health technologists and technicians,"2,861,697",22.30%,77.70%,0,0,0,"639,480","2,222,217"
2015,Service occupations:,"27,047,705",43.30%,56.70%,0,0,0,"11,720,432","15,327,273"
2015,    Healthcare support occupations,"3,588,015",13.30%,86.70%,0,0,0,"475,849","3,112,166"
2015,    Protective service occupations:,"3,199,233",77.90%,22.10%,0,0,0,"2,490,978","708,255"
2015,"        Fire fighting and prevention, and other protective service workers including supervisors","1,768,050",75.90%,24.10%,0,0,0,"1,341,784","426,266"
2015,        Law enforcement workers including supervisors,"1,431,183",80.30%,19.70%,0,0,0,"1,149,194","281,989"
2015,    Food preparation and serving related occupations,"8,816,644",46.10%,53.90%,0,0,0,"4,066,120","4,750,524"
2015,    Building and grounds cleaning and maintenance occupations,"5,833,080",59.00%,41.00%,0,0,0,"3,440,672","2,392,408"
2015,    Personal care and service occupations,"5,610,733",22.20%,77.80%,0,0,0,"1,246,813","4,363,920"
2015,Sales and office occupations:,"35,511,295",38.10%,61.90%,0,0,0,"13,532,011","21,979,284"
2015,    Sales and related occupations,"15,966,837",49.80%,50.20%,0,0,0,"7,951,334","8,015,503"
2015,    Office and administrative support occupations,"19,544,458",28.60%,71.40%,0,0,0,"5,580,677","13,963,781"
2015,"Natural resources, construction, and maintenance occupations:","13,542,970",95.30%,4.70%,0,0,0,"12,902,921","640,049"
2015,"    Farming, fishing, and forestry occupations","1,102,425",77.20%,22.80%,0,0,0,"850,882","251,543"
2015,    Construction and extraction occupations,"7,663,198",97.20%,2.80%,0,0,0,"7,444,863","218,335"
2015,"    Installation, maintenance, and repair occupations","4,777,347",96.40%,3.60%,0,0,0,"4,607,176","170,171"
2015,"Production, transportation, and material moving occupations:","18,559,438",77.70%,22.30%,0,0,0,"14,428,155","4,131,283"
2015,    Production occupations,"8,970,126",71.70%,28.30%,0,0,0,"6,428,556","2,541,570"
2015,    Transportation occupations,"5,569,842",86.30%,13.70%,0,0,0,"4,806,599","763,243"
2015,    Material moving occupations,"4,019,470",79.40%,20.60%,0,0,0,"3,193,000","826,470"
2016,Civilian employed population 16 years and over,"152,571,041",52.50%,47.50%,0,0,0,"80,047,885","72,523,156"
2016,"Management, business, science, and arts occupations:","57,331,293",47.40%,52.60%,0,0,0,"27,195,823","30,135,470"
2016,"    Management, business, and financial occupations:","23,130,538",55.00%,45.00%,0,0,0,"12,718,045","10,412,493"
2016,        Management occupations,"15,703,814",59.80%,40.20%,0,0,0,"9,392,484","6,311,330"
2016,        Business and financial operations occupations,"7,426,724",44.80%,55.20%,0,0,0,"3,325,561","4,101,163"
2016,"    Computer, engineering, and science occupations:","8,641,838",74.40%,25.60%,0,0,0,"6,429,177","2,212,661"
2016,        Computer and mathematical occupations,"4,517,148",74.30%,25.70%,0,0,0,"3,354,267","1,162,881"
2016,        Architecture and engineering occupations,"2,794,618",84.90%,15.10%,0,0,0,"2,371,630","422,988"
2016,"        Life, physical, and social science occupations","1,330,072",52.90%,47.10%,0,0,0,"703,280","626,792"
2016,"    Education, legal, community service, arts, and media occupations:","16,472,435",35.10%,64.90%,0,0,0,"5,782,611","10,689,824"
2016,        Community and social services occupations,"2,627,745",34.60%,65.40%,0,0,0,"908,824","1,718,921"
2016,        Legal occupations,"1,712,467",47.60%,52.40%,0,0,0,"815,683","896,784"
2016,"        Education, training, and library occupations","9,076,031",27.10%,72.90%,0,0,0,"2,464,121","6,611,910"
2016,"        Arts, design, entertainment, sports, and media occupations","3,056,192",52.20%,47.80%,0,0,0,"1,593,983","1,462,209"
2016,    Healthcare practitioner and technical occupations:,"9,086,482",24.90%,75.10%,0,0,0,"2,265,990","6,820,492"
2016,        Health diagnosing and treating practitioners and other technical occupations,"6,137,525",26.20%,73.80%,0,0,0,"1,605,277","4,532,248"
2016,        Health technologists and technicians,"2,948,957",22.40%,77.60%,0,0,0,"660,713","2,288,244"
2016,Service occupations:,"27,594,131",43.50%,56.50%,0,0,0,"12,007,142","15,586,989"
2016,    Healthcare support occupations,"3,593,770",13.50%,86.50%,0,0,0,"486,913","3,106,857"
2016,    Protective service occupations:,"3,170,202",78.10%,21.90%,0,0,0,"2,476,690","693,512"
2016,"        Fire fighting and prevention, and other protective service workers including supervisors","1,738,616",76.00%,24.00%,0,0,0,"1,321,078","417,538"
2016,        Law enforcement workers including supervisors,"1,431,586",80.70%,19.30%,0,0,0,"1,155,612","275,974"
2016,    Food preparation and serving related occupations,"8,999,484",46.20%,53.80%,0,0,0,"4,160,111","4,839,373"
2016,    Building and grounds cleaning and maintenance occupations,"6,036,891",59.60%,40.40%,0,0,0,"3,595,316","2,441,575"
2016,    Personal care and service occupations,"5,793,784",22.20%,77.80%,0,0,0,"1,288,112","4,505,672"
2016,Sales and office occupations:,"35,600,875",38.30%,61.70%,0,0,0,"13,648,032","21,952,843"
2016,    Sales and related occupations,"16,014,416",49.80%,50.20%,0,0,0,"7,975,023","8,039,393"
2016,    Office and administrative support occupations,"19,586,459",29.00%,71.00%,0,0,0,"5,673,009","13,913,450"
2016,"Natural resources, construction, and maintenance occupations:","13,502,451",95.20%,4.80%,0,0,0,"12,850,757","651,694"
2016,"    Farming, fishing, and forestry occupations","1,062,331",76.90%,23.10%,0,0,0,"817,409","244,922"
2016,    Construction and extraction occupations,"7,696,881",97.00%,3.00%,0,0,0,"7,466,647","230,234"
2016,"    Installation, maintenance, and repair occupations","4,743,239",96.30%,3.70%,0,0,0,"4,566,701","176,538"
2016,"Production, transportation, and material moving occupations:","18,542,291",77.40%,22.60%,0,0,0,"14,346,131","4,196,160"
2016,    Production occupations,"8,792,806",70.90%,29.10%,0,0,0,"6,235,035","2,557,771"
2016,    Transportation occupations,"5,718,955",86.30%,13.70%,0,0,0,"4,935,116","783,839"
2016,    Material moving occupations,"4,030,530",78.80%,21.20%,0,0,0,"3,175,980","854,550"
2017,Civilian employed population 16 years and over,"155,058,331",52.50%,47.50%,0,0,0,"81,425,002","73,633,329"
2017,"Management, business, science, and arts occupations:","59,160,458",47.30%,52.70%,0,0,0,"27,984,748","31,175,710"
2017,"    Management, business, and financial occupations:","24,009,493",54.90%,45.10%,0,0,0,"13,178,453","10,831,040"
2017,        Management occupations,"16,332,467",59.70%,40.30%,0,0,0,"9,746,661","6,585,806"
2017,        Business and financial operations occupations,"7,677,026",44.70%,55.30%,0,0,0,"3,431,792","4,245,234"
2017,"    Computer, engineering, and science occupations:","8,925,990",74.30%,25.70%,0,0,0,"6,631,377","2,294,613"
2017,        Computer and mathematical occupations,"4,710,650",74.60%,25.40%,0,0,0,"3,512,106","1,198,544"
2017,        Architecture and engineering occupations,"2,857,463",84.30%,15.70%,0,0,0,"2,409,420","448,043"
2017,"        Life, physical, and social science occupations","1,357,877",52.30%,47.70%,0,0,0,"709,851","648,026"
2017,"    Education, legal, community service, arts, and media occupations:","16,852,852",34.80%,65.20%,0,0,0,"5,867,487","10,985,365"
2017,        Community and social services occupations,"2,709,029",33.80%,66.20%,0,0,0,"916,134","1,792,895"
2017,        Legal occupations,"1,702,542",47.80%,52.20%,0,0,0,"814,264","888,278"
2017,"        Education, training, and library occupations","9,289,193",26.90%,73.10%,0,0,0,"2,501,280","6,787,913"
2017,"        Arts, design, entertainment, sports, and media occupations","3,152,088",51.90%,48.10%,0,0,0,"1,635,809","1,516,279"
2017,    Healthcare practitioner and technical occupations:,"9,372,123",24.60%,75.40%,0,0,0,"2,307,431","7,064,692"
2017,        Health diagnosing and treating practitioners and other technical occupations,"6,346,928",25.60%,74.40%,0,0,0,"1,624,690","4,722,238"
