Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Liechtenstein,Europe,3084,7959.33,12,30.97,0,57,147.11,0,0,0,Sporadic cases
Monaco,Europe,2497,6362.76,10,25.48,2,32,81.54,0,0,0,Sporadic cases
Bermuda,Americas,2479,3980.86,24,38.54,2,32,51.39,1,1.61,0,Community transmission
Turks and Caicos Islands,Americas,2406,6214.16,2,5.17,2,17,43.91,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2332,1064.07,12,5.48,1,35,15.97,0,0,0,Community transmission
Sint Maarten,Americas,2307,5379.88,39,90.95,15,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2303,47.76,15,0.31,1,26,0.54,0,0,0,Sporadic cases
Liberia,Africa,2142,42.35,17,0.34,11,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1949,1756.81,27,24.34,2,12,10.82,0,0,0,Community transmission
Saint Martin,Americas,1839,4756.98,62,160.38,0,14,36.21,0,0,0,Community transmission
Lao People's Democratic Republic,Western Pacific,1737,23.87,320,4.4,50,2,0.03,1,0.01,0,Sporadic cases
Isle of Man,Europe,1591,1871.06,1,1.18,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1578,7544.82,21,100.41,5,17,81.28,0,0,0,Community transmission
Bhutan,South-East Asia,1322,171.33,65,8.42,13,1,0.13,0,0,0,Clusters of cases
Mauritius,Africa,1322,103.95,34,2.67,34,17,1.34,0,0,0,Clusters of cases
Antigua and Barbuda,Americas,1251,1277.46,10,10.21,0,42,42.89,10,10.21,0,Clusters of cases
Saint Barthélemy,Americas,1010,10217.5,16,161.86,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,762,,4,,2,13,,0,,0,Not applicable
Faroe Islands,Europe,670,1371.12,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,565,859.71,17,25.87,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
British Virgin Islands,Americas,248,820.19,29,95.91,0,1,3.31,0,0,0,Clusters of cases
Brunei Darussalam,Western Pacific,235,53.72,4,0.91,0,3,0.69,0,0,0,Sporadic cases
Fiji,Western Pacific,189,21.08,28,3.12,11,4,0.45,1,0.11,0,Sporadic cases
Dominica,Americas,184,255.59,9,12.5,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,175,304.05,5,8.69,1,2,3.47,0,0,0,Pending
Grenada,Americas,161,143.08,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,125,43.78,1,0.35,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,109,726.57,0,0,0,0,0,0,0,0,Clusters of cases
Falkland Islands (Malvinas),Americas,63,1808.79,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,45,84.6,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,34,59.89,3,5.28,3,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
